Time,Original_Signal,IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6,IMF_7,IMF_8,IMF_9,IMF_10,IMF_11,IMF_12,IMF_13
2021/11/1 0:00,1.63,-9.141062383690107,-17.033869959336073,5.7761338698750055,-0.6139032481615976,-3.928450204893104,-1.285904114772843,5.417156090739743,1.255163612126391,0.186476510036895,0.6127693277552946,3.537078084153416,-3.9977750812978496,20.846187497464832
2021/11/1 1:00,1.14,-9.123201437551277,-17.05237273583689,5.8658847481544045,-0.879090470065143,-4.258153243696539,-1.3487310061484121,5.482144654492476,1.2666917659193966,0.19066964828357313,0.6065397131615602,3.54192825018323,-3.9980526994638614,20.845742812567487
2021/11/1 2:00,29.37,8.960768908526576,-5.767797647701338,5.651561573961867,-1.538738677852173,-4.532298058310184,-1.4175667290011342,5.547392339580972,1.2779098958771316,0.1947916154017181,0.6002364356397054,3.5467701385986885,-3.998327860243533,20.845298065521703
2021/11/1 3:00,30.0,-1.7443837025719553,7.325058874069303,5.042031012410144,-2.474741023170017,-4.747316790814303,-1.4928783123358986,5.612857299337783,1.288814887588846,0.19884205764199125,0.5938592555490931,3.5516037483087683,-3.9986005624009913,20.84485325638724
2021/11/1 4:00,30.25,-7.949547950136373,16.115404607948342,3.9349571348416323,-3.546135951196174,-4.899641583289156,-1.575066771705997,5.678431673643882,1.299403626643786,0.20282062125508346,0.5874079332490543,3.556429078222439,-3.9988708047003683,20.84440838522385
2021/11/1 5:00,30.19,-5.54607362542502,16.525798908483956,2.2251135484926943,-4.611961907108105,-4.985704577815007,-1.6644675938916687,5.7439420736071645,1.3096729986311875,0.2067269524916697,0.5808822290989597,3.561246127248677,-3.999138585905821,20.843963452091316
2021/11/1 6:00,30.36,6.898476140329784,7.524264116670643,-0.09197578587262889,-5.531257336083343,-5.0019379164721,-1.7614026397301474,5.809201484392542,1.3196198891403115,0.21056069760240892,0.5742819034581572,3.5660548942964616,-3.999403904781483,20.84351845704939
2021/11/1 7:00,0.96,-6.61275520252507,-5.278242383775529,-2.574428531791084,-6.163060683299351,-4.945008150134683,-1.8659593612647234,5.874022891164945,1.3292411837604052,0.21432150283798798,0.5676067166859959,3.570855378274748,-3.999666760091489,20.84307340015785
2021/11/1 8:00,0.91,5.824000132940291,-15.563699755672744,-4.668050142848151,-6.366410393933643,-4.812519464852917,-1.9772875753627233,5.938219279089276,1.3385337680807061,0.2180090144490816,0.5608564291418281,3.575647578092525,-3.9999271505999667,20.84262828147644
2021/11/1 9:00,1.11,6.460124849287735,-15.385461896463632,-5.81488625363686,-5.999554743394221,-4.60310062524041,-2.094302690097529,6.001603633330452,1.3474945276904675,0.22162287868634659,0.554030801185013,3.58043149265876,-4.000185075071066,20.842183101064936
2021/11/1 10:00,1.03,-6.3847279979789935,-4.099418872057256,-5.618969058695994,-4.951328952540823,-4.318541074988762,-2.2159201135424866,6.06398893905339,1.356120348178953,0.2251627418004748,0.547129593174895,3.585207120882426,-4.000440532268914,20.841737858983095
2021/11/1 11:00,30.18,6.180217382833003,9.24675053823703,-4.357053022042056,-3.2763898257748596,-3.961420427559013,-2.34105525377099,6.125188181423006,1.3644081151353933,0.22862825004212495,0.5401525654708452,3.5899744616724907,-4.000693520957659,20.841292555290686
2021/11/1 12:00,30.25,-3.081476332921768,14.123354131893564,-2.356433422837617,-1.1896268127969658,-3.534318296412216,-2.4686235188563916,6.185014345604197,1.3723547141490466,0.2320190496619888,0.5330994784321872,3.5947335139379417,-4.000944039901439,20.84084719004747
2021/11/1 13:00,30.68,-5.364293006567271,11.735687689751025,0.0602742682613,1.0624493814998215,-3.0398142950094678,-2.5975403168720534,6.243280416761906,1.3799570308091387,0.23533478691072865,0.5259700924183068,3.5994842765877326,-4.001192087864382,20.840401763313213
2021/11/1 14:00,30.92,-4.76740088510269,6.301612995912394,2.4725729630095543,3.233328052222477,-2.4804880368118063,-2.7267210558913497,6.299799380061037,1.3872119507049439,0.2385751080390167,0.518764167788528,3.6042267485308503,-4.001437663610634,20.839956275147678
2021/11/1 15:00,30.83,-3.4042101197631407,0.4506385087847482,4.472560803093864,5.0764984944779705,-1.8589191352803107,-2.855081143987649,6.354384220666489,1.3941163594257155,0.24173964896802966,0.5114814752317218,3.6089609286762525,-4.001680765904329,20.839510725610637
2021/11/1 16:00,31.01,0.13055591856148685,-5.976298262724585,5.662220099355482,6.345450003373232,-1.1776872038760047,-2.981535989234323,6.406847923743209,1.4006671425606616,0.24482800430093435,0.5041218267547531,3.613686815932925,-4.0019213935095985,20.839065114761826
2021/11/1 17:00,30.7,3.9499037518801186,-11.205989702607015,5.647133627117388,6.790071409533417,-0.4393718560599824,-3.1050009997047354,6.457003474456082,1.4068611856990758,0.2478397583113774,0.49668504469398655,3.618404409209836,-4.00215954519059,20.83861944266104
2021/11/1 18:00,19.33,-4.1188725767311,-12.989515715921254,3.9733989749793635,6.224942411521518,0.34824161349213,-3.224391583472241,6.504663857970043,1.4126953744301738,0.2507744952730394,0.4891709513857654,3.62311370741597,-4.002395219711442,20.838173709368032
2021/11/1 19:00,31.23,4.6234761834733575,-5.5432346285117,0.3884892305369094,4.777452649085701,1.1565056830401343,-3.338623148610232,6.549642059449996,1.4181665943432242,0.25363179945956416,0.48157936916648847,3.6278147094602766,-4.002628415836277,20.837727914942555
